"Package","Version","Source"
"abind","1.4-8","cran"
"arrayhelpers","1.1-0","cran"
"arrow","24.0.0","cran"
"askpass","1.2.1","cran"
"assertthat","0.2.1","cran"
"available","1.1.0","cran"
"backports","1.5.1","cran"
"base","4.6.0","cran"
"base64enc","0.1-6","cran"
"base64url","1.4","cran"
"bayesplot","1.15.0","cran"
"BH","1.90.0-1","cran"
"bigD","0.3.1","cran"
"bit","4.6.0","cran"
"bit64","4.8.0","cran"
"bitops","1.0-9","cran"
"blob","1.3.0","cran"
"boot","1.3-32","cran"
"brew","1.0-10","cran"
"bridgesampling","1.2-1","cran"
"brio","1.1.5","cran"
"brms","2.23.0","cran"
"Brobdingnag","1.2-9","cran"
"broom","1.0.12","cran"
"bslib","0.10.0","cran"
"cachem","1.1.0","cran"
"callr","3.7.6","cran"
"car","3.1-5","cran"
"carData","3.0-6","cran"
"cards","0.7.1","cran"
"cardx","0.3.2","cran"
"cellranger","1.1.0","cran"
"checkmate","2.3.4","cran"
"class","7.3-23","cran"
"classInt","0.4-11","cran"
"cli","3.6.6","cran"
"clipr","0.8.0","cran"
"clisymbols","1.2.0","cran"
"clock","0.7.4","cran"
"cluster","2.1.8.2","cran"
"cmdstanr","0.9.0.9000","github::stan-dev/cmdstanr"
"coda","0.19-4.1","cran"
"codetools","0.2-20","cran"
"collections","0.3.12","cran"
"colorspace","2.1-2","cran"
"colourpicker","1.3.0","cran"
"cols4all","0.10","cran"
"commonmark","2.0.0","cran"
"compiler","4.6.0","cran"
"conflicted","1.2.0","cran"
"coro","1.1.0","cran"
"corrplot","0.95","cran"
"covr","3.6.5","cran"
"cowplot","1.2.0","cran"
"cpp11","0.5.4","cran"
"crayon","1.5.3","cran"
"credentials","2.0.3","cran"
"crosstalk","1.2.2","cran"
"curl","7.1.0","cran"
"data.table","1.18.2.1","cran"
"datasets","4.6.0","cran"
"DBI","1.3.0","cran"
"dbplyr","2.5.2","cran"
"deldir","2.0-4","cran"
"Deriv","4.2.0","cran"
"desc","1.4.3","cran"
"devtools","2.5.2","cran"
"diagram","1.6.5","cran"
"dials","1.4.3","cran"
"DiceDesign","1.10","cran"
"diffobj","0.3.6","cran"
"digest","0.6.39","cran"
"distributional","0.7.0","cran"
"doBy","4.7.1","cran"
"doParallel","1.0.17","cran"
"downlit","0.4.5","cran"
"dplyr","1.2.1","cran"
"DT","0.34.0","cran"
"dtplyr","1.3.3","cran"
"duckdb","1.5.2","cran"
"duckplyr","1.2.1","cran"
"dygraphs","1.1.1.6","cran"
"e1071","1.7-17","cran"
"ellipsis","0.3.3","cran"
"evaluate","1.0.5","cran"
"exactextractr","0.10.1","cran"
"fansi","1.0.7","cran"
"farver","2.1.2","cran"
"fastmap","1.2.0","cran"
"flextable","0.9.11","cran"
"FNN","1.1.4.1","cran"
"fontawesome","0.5.3","cran"
"fontBitstreamVera","0.1.1","cran"
"fontLiberation","0.1.0","cran"
"fontquiver","0.2.1","cran"
"forcats","1.0.1","cran"
"foreach","1.5.2","cran"
"forecast","9.0.2","cran"
"foreign","0.8-91","cran"
"Formula","1.2-5","cran"
"fracdiff","1.5-4","cran"
"fs","2.1.0","cran"
"furrr","0.4.0","cran"
"future","1.70.0","cran"
"future.apply","1.20.2","cran"
"gargle","1.6.1","cran"
"GauPro","0.2.17","cran"
"gdtools","0.5.0","cran"
"generics","0.1.4","cran"
"geodata","0.6-9","cran"
"geojsonsf","2.0.5","cran"
"geometries","0.2.5","cran"
"geoR","1.9-6","cran"
"gert","2.3.1","cran"
"gganimate","1.0.11","cran"
"ggdist","3.3.3","cran"
"ggforce","0.5.0","cran"
"ggplot2","4.0.3","cran"
"ggpubr","0.6.3","cran"
"ggrepel","0.9.8","cran"
"ggridges","0.5.7","cran"
"ggsci","5.0.0","cran"
"ggsignif","0.6.4","cran"
"gh","1.5.0","cran"
"gitcreds","0.1.2","cran"
"glmnet","5.0","cran"
"globals","0.19.1","cran"
"glue","1.8.1","cran"
"goftest","1.2-3","cran"
"googledrive","2.1.2","cran"
"googlesheets4","1.1.2","cran"
"gower","1.0.2","cran"
"GPfit","1.0-9","cran"
"graphics","4.6.0","cran"
"grDevices","4.6.0","cran"
"grid","4.6.0","cran"
"gridExtra","2.3","cran"
"gstat","2.1-6","cran"
"gt","1.3.0","cran"
"gtable","0.3.6","cran"
"gtools","3.9.5","cran"
"gtsummary","2.5.0","cran"
"hardhat","1.4.3","cran"
"haven","2.5.5","cran"
"here","1.0.2","cran"
"hexbin","1.28.5","cran"
"highr","0.12","cran"
"hms","1.1.4","cran"
"htmltools","0.5.9","cran"
"htmlwidgets","1.6.4","cran"
"httpuv","1.6.17","cran"
"httr","1.4.8","cran"
"httr2","1.2.2","cran"
"ids","1.0.1","cran"
"igraph","2.3.1","cran"
"infer","1.1.0","cran"
"ini","0.3.1","cran"
"inline","0.3.21","cran"
"interp","1.1-6","cran"
"intervals","0.15.5","cran"
"ipred","0.9-15","cran"
"isoband","0.3.0","cran"
"iterators","1.0.14","cran"
"janeaustenr","1.0.0","cran"
"janitor","2.2.1","cran"
"jpeg","0.1-11","cran"
"jquerylib","0.1.4","cran"
"jsonify","1.2.3","cran"
"jsonlite","2.0.0","cran"
"juicyjuice","0.1.0","cran"
"kableExtra","1.4.0","cran"
"KernSmooth","2.23-26","cran"
"knitr","1.51","cran"
"labeling","0.4.3","cran"
"languageserver","0.3.18","cran"
"later","1.4.8","cran"
"lattice","0.22-9","cran"
"latticeExtra","0.6-31","cran"
"lava","1.9.0","cran"
"lazyeval","0.2.3","cran"
"lbfgs","1.2.1.2","cran"
"leafem","0.2.5","cran"
"leafgl","0.2.4","cran"
"leaflegend","1.2.1","cran"
"leaflet","2.2.3","cran"
"leaflet.providers","3.0.0","cran"
"leafpop","0.1.0","cran"
"leafsync","0.1.0","cran"
"lhs","1.3.0","cran"
"lifecycle","1.0.5","cran"
"lintr","3.3.0-1","cran"
"listenv","0.10.1","cran"
"litedown","0.9","cran"
"lme4","2.0-1","cran"
"lmtest","0.9-40","cran"
"logger","0.4.1","cran"
"loo","2.9.0","cran"
"lpSolve","5.6.23","cran"
"lubridate","1.9.5","cran"
"lwgeom","0.2-16","cran"
"magrittr","2.0.5","cran"
"maptiles","0.11.0","cran"
"mapview","2.11.4","cran"
"markdown","2.0","cran"
"MASS","7.3-65","cran"
"Matrix","1.7-5","cran"
"MatrixModels","0.5-4","cran"
"matrixStats","1.5.0","cran"
"memoise","2.0.1","cran"
"methods","4.6.0","cran"
"mgcv","1.9-4","cran"
"microbenchmark","1.5.0","cran"
"mime","0.13","cran"
"miniUI","0.1.2","cran"
"minqa","1.2.8","cran"
"mixopt","0.1.3","cran"
"modeldata","1.5.1","cran"
"modelenv","0.2.0","cran"
"modelr","0.1.11","cran"
"mvtnorm","1.3-7","cran"
"nleqslv","3.3.7","cran"
"nlme","3.1-169","cran"
"nloptr","2.2.1","cran"
"nnet","7.3-20","cran"
"numDeriv","2016.8-1.1","cran"
"officer","0.7.4","cran"
"openssl","2.4.0","cran"
"otel","0.2.0","cran"
"pak","0.9.5","cran"
"parallel","4.6.0","cran"
"parallelly","1.47.0","cran"
"parsnip","1.5.0","cran"
"patchwork","1.3.2","cran"
"pbkrtest","0.5.5","cran"
"pillar","1.11.1","cran"
"pkgbuild","1.4.8","cran"
"pkgconfig","2.0.3","cran"
"pkgdown","2.2.0","cran"
"pkgload","1.5.2","cran"
"plotly","4.12.0","cran"
"plyr","1.8.9","cran"
"png","0.1-9","cran"
"polyclip","1.10-7","cran"
"polynom","1.4-1","cran"
"posterior","1.7.0","cran"
"praise","1.0.0","cran"
"prettyunits","1.2.0","cran"
"processx","3.9.0","cran"
"prodlim","2026.03.11","cran"
"profvis","0.4.0","cran"
"progress","1.2.3","cran"
"progressr","0.19.0","cran"
"promises","1.5.0","cran"
"proxy","0.4-29","cran"
"ps","1.9.3","cran"
"purrr","1.2.2","cran"
"quadprog","1.5-8","cran"
"quantreg","6.1","cran"
"quarto","1.5.1","cran"
"QuickJSR","1.9.2","cran"
"R.cache","0.17.0","cran"
"R.methodsS3","1.8.2","cran"
"R.oo","1.27.1","cran"
"R.utils","2.13.0","cran"
"R6","2.6.1","cran"
"ragg","1.5.2","cran"
"ranger","0.18.0","cran"
"rapidjsonr","1.2.1","cran"
"rappdirs","0.3.4","cran"
"raster","3.6-32","cran"
"rasterVis","0.51.7","cran"
"rbibutils","2.4.1","cran"
"rcmdcheck","1.4.0","cran"
"RColorBrewer","1.1-3","cran"
"Rcpp","1.1.1-1.1","cran"
"RcppArmadillo","15.2.6-1","cran"
"RcppEigen","0.3.4.0.2","cran"
"RcppParallel","5.1.11-2","cran"
"Rdpack","2.6.6","cran"
"reactable","0.4.5","cran"
"reactR","0.6.1","cran"
"read.dbc","1.2.0","github::danicat/read.dbc"
"readr","2.2.0","cran"
"readxl","1.4.5","cran"
"recipes","1.3.2","cran"
"reformulas","0.4.4","cran"
"rematch","2.0.0","cran"
"rematch2","2.1.2","cran"
"remotes","2.5.0","cran"
"repr","1.1.7","cran"
"reprex","2.1.1","cran"
"reshape2","1.4.5","cran"
"rex","1.2.2","cran"
"rlang","1.2.0","cran"
"rmarkdown","2.31","cran"
"roxygen2","8.0.0","cran"
"rpart","4.1.27","cran"
"rprojroot","2.1.1","cran"
"rsample","1.3.2","cran"
"rstan","2.32.7","cran"
"rstanarm","2.32.2","cran"
"rstantools","2.6.0","cran"
"rstatix","0.7.3","cran"
"rstudioapi","0.18.0","cran"
"rversions","3.0.0","cran"
"rvest","1.0.5","cran"
"s2","1.1.9","cran"
"S7","0.2.2","cran"
"safetensors","0.2.1","cran"
"sass","0.4.10","cran"
"satellite","1.0.6","cran"
"scales","1.4.0","cran"
"secretbase","1.2.2","cran"
"selectr","0.5-1","cran"
"servr","0.32","cran"
"sessioninfo","1.2.3","cran"
"sf","1.1-0","cran"
"sfd","0.1.0","cran"
"sfheaders","0.4.5","cran"
"sftime","0.3.1","cran"
"shape","1.4.6.1","cran"
"shiny","1.13.0","cran"
"shinyjs","2.1.1","cran"
"shinystan","2.7.0","cran"
"shinythemes","1.2.0","cran"
"skimr","2.2.2","cran"
"slider","0.3.3","cran"
"snakecase","0.11.1","cran"
"SnowballC","0.7.1","cran"
"sourcetools","0.1.7-2","cran"
"sp","2.2-1","cran"
"spacesXYZ","1.6-0","cran"
"spacetime","1.3-3","cran"
"SparseM","1.84-2","cran"
"sparsevctrs","0.3.6","cran"
"spatial","7.3-18","cran"
"spatstat","3.6-0","cran"
"spatstat.data","3.1-9","cran"
"spatstat.explore","3.8-0","cran"
"spatstat.geom","3.7-3","cran"
"spatstat.linnet","3.5-0","cran"
"spatstat.model","3.7-0","cran"
"spatstat.random","3.4-5","cran"
"spatstat.sparse","3.1-0","cran"
"spatstat.univar","3.1-7","cran"
"spatstat.utils","3.2-2","cran"
"spData","2.3.5","cran"
"spdep","1.4-2","cran"
"splancs","2.01-45","cran"
